id,name,location
rulebook_branch_1,Head Office,Plot 256 Herbert Macaulay Way Central Business District Abuja FCT
rulebook_branch_2,Lagos Office,23 Marina Lagos Island Lagos
rulebook_branch_3,Enugu Office,39A Garden Avenue Enugu Enugu State
rulebook_branch_4,Kaduna Office,18A Muhammadu Buhari Way Kaduna Kaduna State
rulebook_branch_5,Port Harcourt Office,186 Port Harcourt/Aba Express Road Port Harcourt Rivers State
rulebook_branch_7,Bauchi Office,16 Yandoka Road Bauchi Bauchi State
rulebook_branch_8,Asaba Office,Oshimili South Delta State
rulebook_branch_9,Kano Office,3 Bank Road Kano Kano State
rulebook_branch_10,Akure Office,State Secretariat Road Alagbaka Akure Ondo State
rulebook_branch_11,Ibadan Office,Plot 9 Agodi GRA Ibadan Oyo State
rulebook_branch_12,Jos Office,35 Murtala Mohammed Way Jos Plateau State
rulebook_branch_13,Abakaliki Desk Office,1 Water Works Road Abakaliki Ebonyi State
rulebook_branch_14,Aba Desk Office,7 Factory Road Aba Abia State
rulebook_branch_15,Abeokuta Desk Office,Block B MITROS House Okelewo Abeokuta Ogun State
rulebook_branch_16,Adamawa Desk Office,80 Mohammed Mustapha Way Jimeta Yola Adamawa State
rulebook_branch_17,Akwa Ibom Desk Office,Plot 215 Aka Road Uyo Akwa Ibom State
rulebook_branch_18,Benin Desk Office,67 Airport Road Benin City Edo State
rulebook_branch_19,Calabar Desk Office,14 Barracks Road Calabar Cross River State
rulebook_branch_20,Gombe Desk Office,New Commercial Layout Near Central Market Gombe State
rulebook_branch_21,Ilorin Desk Office,22 Ejiba Road Off Murtala Mohammed Way Ilorin Kwara State
rulebook_branch_22,Jalingo Desk Office,Investment House 22 Hammaruwa Way Jalingo Taraba State
rulebook_branch_23,Katsina Desk Office,Old Civil Service Commission Building IBB Way Katsina State
rulebook_branch_24,Kebbi Desk Office,Plot 20 Emir Haruna Road Birnin Kebbi Kebbi State
rulebook_branch_25,Lokoja Desk Office,Kogi State Investment House Lokoja Kogi State
rulebook_branch_26,Maiduguri Desk Office,35 Sir Kashim Ibrahim Way Maiduguri Borno State
rulebook_branch_27,Makurdi Desk Office,16 JS Tarka Way Makurdi Benue State
rulebook_branch_28,Minna Desk Office,Beside Central Bank of Nigeria Minna Niger State
rulebook_branch_29,Osogbo Desk Office,Osun State Property Development Corporation Osogbo Osun State
rulebook_branch_30,Owerri Desk Office,Plot P/20 Chief Emmanuel Iwuanyanwu Avenue New Owerri Imo State
rulebook_branch_31,Sokoto Desk Office,27A Abdullahi Fodio Road Sokoto Sokoto State
rulebook_branch_32,Yenagoa Desk Office,Bayelsa State Investment House Amarata Yenagoa Bayelsa State
rulebook_branch_33,Zamfara Desk Office,Former Ministry of Commerce Building Sokoto Road Gusau Zamfara State
rulebook_branch_34,Damaturu Desk Office,Plot 117 Gujba Road GRA Damaturu Yobe State
rulebook_branch_35,Dutse Desk Office,Plot 8 Kiyawa Road GRA Dutse Jigawa State
